,Search Trend,Number of Searches (+)
0,Johnny Depp verdict ,1000000
1,KK singer ,100000
2,America's Got Talent ,50000
3,Aaron Donald ,50000
4,Nadal vs Djokovic ,50000
5,Manor ,20000
6,Bo Burnham ,20000
7,Chick-fil-A ,20000
8,Jeff Gladney ,1000000
9,Rangers ,500000
10,Chick-fil-A ,200000
11,Meteor shower ,200000
12,Mona Lisa ,200000
13,Fantastic Beasts ,200000
14,Lake Lanier ,100000
15,Hurricane Agatha 2022 ,100000
16,Mona Lisa cake ,100000
17,Leonard Bernstein ,100000
18,Norm Macdonald ,100000
19,Jaylen Brown ,100000
20,Fantastic Beasts 3 ,50000
21,Jeff Beck ,50000
22,Stranger Things Season 4 volume 2 ,50000
23,Bobby Brown ,50000
24,John Travolta ,50000
25,Ezra Miller ,50000
26,The Bob's Burgers Movie ,20000
27,Father Stu ,20000
